Date,10 YR
1/2/90,7.94
2/1/90,8.42
3/1/90,8.59
4/2/90,8.65
5/1/90,9.08
6/1/90,8.44
7/2/90,8.43
8/1/90,8.29
9/4/90,8.9
10/1/90,8.71
11/1/90,8.57
12/3/90,8.22
1/2/91,7.97
2/1/91,7.91
3/1/91,8.12
4/1/91,8.07
5/1/91,8.01
6/3/91,8.14
7/1/91,8.26
8/1/91,8.2
9/3/91,7.81
10/1/91,7.45
11/1/91,7.48
12/2/91,7.32
1/2/92,6.78
2/3/92,7.36
3/2/92,7.38
4/1/92,7.46
5/1/92,7.56
6/1/92,7.39
7/1/92,7.1
8/3/92,6.72
9/1/92,6.56
10/1/92,6.23
11/2/92,6.88
12/1/92,6.94
1/4/93,6.6
2/1/93,6.38
3/1/93,5.94
4/1/93,6.06
5/3/93,5.96
6/1/93,6.07
7/1/93,5.8
8/2/93,5.85
9/1/93,5.46
10/1/93,5.34
11/1/93,5.56
12/1/93,5.82
1/3/94,5.92
2/1/94,5.77
3/1/94,6.28
4/4/94,7.16
5/2/94,7.09
6/1/94,7.12
7/1/94,7.34
8/1/94,7.13
9/1/94,7.19
10/3/94,7.66
11/1/94,7.91
12/1/94,7.92
1/3/95,7.88
2/1/95,7.66
3/1/95,7.23
4/3/95,7.14
5/1/95,7.09
6/1/95,6.2
7/3/95,6.21
8/1/95,6.5
9/1/95,6.22
10/2/95,6.15
11/1/95,5.98
12/1/95,5.71
1/2/96,5.6
2/1/96,5.63
3/1/96,5.99
4/1/96,6.31
5/1/96,6.68
6/3/96,6.87
7/1/96,6.74
8/1/96,6.65
9/3/96,6.92
10/1/96,6.65
11/1/96,6.38
12/3/96,6.06
1/2/97,6.54
2/3/97,6.47
3/3/97,6.58
4/1/97,6.9
5/1/97,6.69
6/2/97,6.66
7/1/97,6.45
8/1/97,6.2
9/2/97,6.31
10/1/97,6.04
11/3/97,5.91
12/1/97,5.86
1/2/98,5.67
2/2/98,5.57
3/2/98,5.72
4/1/98,5.62
5/1/98,5.67
6/1/98,5.53
7/1/98,5.44
8/3/98,5.46
9/1/98,5.05
10/1/98,4.33
11/2/98,4.77
12/1/98,4.67
1/4/99,4.69
2/1/99,4.75
3/1/99,5.4
4/1/99,5.27
5/3/99,5.38
6/1/99,5.78
7/1/99,5.85
8/2/99,5.92
9/1/99,5.99
10/1/99,6
11/1/99,6.06
12/1/99,6.21
1/3/00,6.58
2/1/00,6.62
3/1/00,6.39
4/3/00,6
5/1/00,6.29
6/1/00,6.2
7/3/00,6
8/1/00,6
9/1/00,5.68
9/5/00,5.69
10/2/00,5.83
11/1/00,5.74
12/1/00,5.52
1/2/01,4.92
2/1/01,5.1
3/1/01,4.87
4/2/01,4.98
5/1/01,5.3
6/1/01,5.39
7/2/01,5.37
8/1/01,5.11
9/4/01,4.99
10/1/01,4.55
11/1/01,4.24
12/3/01,4.75
1/2/02,5.2
2/1/02,5.02
3/1/02,4.98
4/1/02,5.44
5/1/02,5.08
6/3/02,5.06
7/1/02,4.85
8/1/02,4.47
9/3/02,3.98
10/1/02,3.72
11/1/02,4.01
12/2/02,4.22
1/2/03,4.07
2/3/03,4.01
3/3/03,3.68
4/1/03,3.84
5/1/03,3.88
6/2/03,3.43
7/1/03,3.56
8/1/03,4.44
9/2/03,4.61
10/1/03,3.96
11/3/03,4.4
12/1/03,4.4
1/2/04,4.38
2/2/04,4.18
3/1/04,4
4/1/04,3.91
5/3/04,4.53
6/1/04,4.71
7/1/04,4.57
8/2/04,4.48
9/1/04,4.13
10/1/04,4.21
11/1/04,4.11
12/1/04,4.38
1/3/05,4.23
2/1/05,4.15
3/1/05,4.38
4/1/05,4.46
5/2/05,4.21
6/1/05,3.91
7/1/05,4.06
8/1/05,4.32
9/1/05,4.02
10/3/05,4.39
11/1/05,4.58
12/1/05,4.52
1/3/06,4.37
2/1/06,4.57
3/1/06,4.59
4/3/06,4.88
5/1/06,5.14
6/1/06,5.11
7/3/06,5.15
8/1/06,4.99
9/1/06,4.73
10/2/06,4.62
11/1/06,4.57
12/1/06,4.43
1/2/07,4.68
2/1/07,4.84
3/1/07,4.56
4/2/07,4.65
5/1/07,4.64
6/1/07,4.95
7/2/07,5
8/1/07,4.76
9/4/07,4.56
10/1/07,4.56
11/1/07,4.36
12/3/07,3.89
1/2/08,3.91
2/1/08,3.62
3/3/08,3.54
4/1/08,3.57
5/1/08,3.78
6/2/08,3.98
7/1/08,4.01
8/1/08,3.97
9/2/08,3.74
10/1/08,3.77
11/3/08,3.96
12/1/08,2.72
1/2/09,2.46
2/2/09,2.76
3/2/09,2.91
4/1/09,2.68
5/1/09,3.21
6/1/09,3.71
7/1/09,3.55
8/3/09,3.66
9/1/09,3.38
10/1/09,3.21
11/2/09,3.45
12/1/09,3.28
1/4/10,3.85
2/1/10,3.68
3/1/10,3.61
4/1/10,3.89
5/3/10,3.72
6/1/10,3.29
7/1/10,2.96
8/2/10,2.99
9/1/10,2.58
10/1/10,2.54
11/1/10,2.66
12/1/10,2.97
1/3/11,3.36
2/1/11,3.48
3/1/11,3.41
4/1/11,3.46
5/2/11,3.31
6/1/11,2.96
7/1/11,3.22
8/1/11,2.77
9/1/11,2.15
10/3/11,1.8
11/1/11,2.01
12/1/11,2.11
1/3/12,1.97
2/1/12,1.87
3/1/12,2.03
4/2/12,2.22
5/1/12,1.98
6/1/12,1.47
7/2/12,1.61
8/1/12,1.56
9/4/12,1.59
10/1/12,1.64
11/1/12,1.75
12/3/12,1.63
1/2/13,1.86
2/1/13,2.04
3/1/13,1.86
4/1/13,1.86
5/1/13,1.66
6/3/13,2.13
7/1/13,2.5
8/1/13,2.74
9/3/13,2.86
10/1/13,2.66
11/1/13,2.65
12/2/13,2.81
1/2/14,3
2/3/14,2.61
3/3/14,2.6
4/1/14,2.77
5/1/14,2.63
6/2/14,2.54
7/1/14,2.58
8/1/14,2.52
9/2/14,2.42
10/1/14,2.42
11/4/14,2.35
11/5/14,2.36
12/1/14,2.22
1/2/15,2.12
2/2/15,1.68
3/2/15,2.08
4/1/15,1.87
5/1/15,2.12
6/1/15,2.19
7/1/15,2.43
8/3/15,2.16
9/1/15,2.17
10/1/15,2.05
11/2/15,2.2
12/1/15,2.15
1/4/16,2.24
2/1/16,1.97
3/1/16,1.83
4/1/16,1.79
5/2/16,1.88
6/1/16,1.85
7/1/16,1.46
8/1/16,1.51
9/1/16,1.57
10/3/16,1.63
11/1/16,1.83
12/1/16,2.45
1/3/17,2.45
2/1/17,2.48
3/1/17,2.46
4/3/17,2.35
5/1/17,2.33
6/1/17,2.21
7/3/17,2.35
8/1/17,2.26
9/1/17,2.16
10/2/17,2.34
11/1/17,2.37
12/1/17,2.37
1/2/18,2.46
2/1/18,2.78
3/1/18,2.81
4/2/18,2.73
5/1/18,2.97
6/1/18,2.89
7/2/18,2.87
8/1/18,3
9/4/18,2.9
10/1/18,3.09
11/1/18,3.14
12/3/18,2.98
1/2/19,2.66
2/1/19,2.7
3/1/19,2.76
4/1/19,2.49
5/1/19,2.52
6/3/19,2.07
7/1/19,2.03
8/1/19,1.9
9/3/19,1.47
10/1/19,1.65
11/1/19,1.73
12/2/19,1.83
1/2/20,1.88
2/3/20,1.54
3/2/20,1.1
4/1/20,0.62
5/1/20,0.64
6/1/20,0.66
7/1/20,0.69
8/3/20,0.56
9/1/20,0.68
10/1/20,0.68
11/2/20,0.87
12/1/20,0.92
1/4/21,0.93
2/1/21,1.09
3/1/21,1.45
4/1/21,1.69
5/3/21,1.63
6/1/21,1.62
7/1/21,1.48
