Date,Open,High,Low,Close,m/m % change,1 or 0,,
7/1/21,"34,507.32","34,640.28","34,498.85","34,633.53",0.17%,0,,
6/1/21,"34,584.19","34,849.32","34,542.87","34,575.31",1.35%,0,,
5/3/21,"33,904.89","34,221.06","33,904.89","34,113.23",2.90%,0,,
4/1/21,"33,054.58","33,167.17","32,985.35","33,153.21",5.13%,0,,
3/1/21,"31,065.90","31,668.34","31,065.90","31,535.51",4.38%,0,,
2/1/21,"30,054.73","30,335.91","30,014.97","30,211.91",-0.04%,0,,
1/4/21,"30,627.47","30,674.28","29,881.82","30,223.89",1.34%,0,,
12/1/20,"29,797.50","30,083.31","29,797.50","29,823.92",10.77%,0,,
11/2/20,"26,691.28","27,043.48","26,691.28","26,925.05",-3.21%,1,,
10/1/20,"27,940.63","28,041.46","27,669.26","27,816.90",-2.89%,1,,
9/1/20,"28,439.61","28,659.26","28,290.72","28,645.66",7.43%,0,,
8/3/20,"26,542.32","26,707.26","26,534.38","26,664.40",3.61%,0,,
7/1/20,"25,879.38","26,019.31","25,713.61","25,734.97",1.02%,0,,
6/1/20,"25,342.99","25,508.83","25,220.66","25,475.02",7.38%,0,,
5/1/20,"24,120.78","24,120.78","23,645.30","23,723.69",13.27%,0,,
4/1/20,"21,227.38","21,487.24","20,784.43","20,943.51",-21.57%,1,,
3/2/20,"25,590.51","26,706.17","25,391.96","26,703.32",-5.97%,1,,
2/3/20,"28,319.65","28,630.39","28,319.65","28,399.81",-1.62%,1,,
1/2/20,"28,638.97","28,872.80","28,627.77","28,868.80",3.91%,0,,
12/2/19,"28,109.74","28,109.84","27,782.35","27,783.04",1.59%,0,,
11/1/19,"27,142.95","27,347.43","27,142.95","27,347.36",2.91%,0,,
10/1/19,"26,962.54","27,046.21","26,562.22","26,573.04",1.74%,0,,
9/3/19,"26,198.26","26,198.26","25,978.22","26,118.02",-1.75%,1,,
8/1/19,"26,879.86","27,175.59","26,548.71","26,583.42",-0.50%,1,,
7/1/19,"26,805.86","26,890.64","26,616.21","26,717.43",7.65%,0,,
6/3/19,"24,830.16","24,935.21","24,680.57","24,819.78",-6.09%,1,,
5/1/19,"26,639.06","26,689.39","26,426.38","26,430.14",0.65%,0,,
4/1/19,"26,075.10","26,280.90","26,071.69","26,258.42",0.89%,0,,
3/1/19,"26,019.67","26,143.92","25,914.37","26,026.32",3.84%,0,,
2/1/19,"25,025.31","25,193.15","24,982.49","25,063.89",7.36%,0,,
1/2/19,"23,058.61","23,413.47","22,928.59","23,346.24",-9.60%,1,,
12/3/18,"25,779.57","25,980.21","25,670.51","25,826.43",1.76%,0,,
11/1/18,"25,142.08","25,396.47","25,108.11","25,380.74",-4.77%,1,,
10/1/18,"26,598.36","26,737.98","26,596.05","26,651.21",2.69%,0,,
9/4/18,"25,916.07","25,971.77","25,805.95","25,952.48",2.44%,0,,
8/1/18,"25,461.63","25,488.80","25,278.32","25,333.82",4.22%,0,,
7/2/18,"24,161.53","24,319.42","24,077.56","24,307.18",-1.33%,1,,
6/1/18,"24,542.09","24,673.60","24,542.09","24,635.21",2.22%,0,,
5/1/18,"24,117.29","24,117.29","23,808.19","24,099.05",1.92%,0,,
4/2/18,"24,076.60","24,123.80","23,344.52","23,644.19",-3.92%,1,,
3/1/18,"25,024.04","25,185.35","24,442.56","24,608.98",-6.02%,1,,
2/1/18,"26,083.04","26,306.70","26,014.44","26,186.71",5.49%,0,,
1/2/18,"24,809.35","24,864.19","24,741.70","24,824.01",2.44%,0,,
12/1/17,"24,305.40","24,322.06","23,921.90","24,231.59",3.40%,0,,
11/1/17,"23,442.90","23,517.71","23,388.91","23,435.01",3.89%,0,,
10/2/17,"22,423.47","22,559.38","22,416.00","22,557.60",2.59%,0,,
9/1/17,"21,981.77","22,038.97","21,974.91","21,987.56",0.11%,0,,
8/1/17,"21,961.42","21,990.96","21,940.81","21,963.92",2.26%,0,,
7/3/17,"21,392.30","21,562.75","21,391.71","21,479.27",1.58%,0,,
6/1/17,"21,030.55","21,144.18","20,994.22","21,144.18",1.10%,0,,
5/1/17,"20,962.73","20,976.62","20,898.38","20,913.46",1.27%,0,,
4/3/17,"20,665.17","20,692.34","20,517.82","20,650.21",-2.20%,1,,
3/1/17,"20,957.29","21,169.11","20,957.29","21,115.55",6.16%,0,,
2/1/17,"19,923.81","19,967.73","19,845.99","19,890.94",0.05%,0,,
1/3/17,"19,872.86","19,938.53","19,775.93","19,881.76",3.59%,0,,
12/1/16,"19,149.20","19,214.30","19,138.79","19,191.93",6.40%,0,,
11/1/16,"18,158.24","18,177.01","17,940.84","18,037.10",-1.19%,1,,
10/3/16,"18,279.60","18,279.80","18,203.75","18,253.85",-0.90%,1,,
9/1/16,"18,396.57","18,430.05","18,295.48","18,419.30",0.08%,0,,
8/1/16,"18,434.50","18,467.03","18,355.75","18,404.51",2.54%,0,,
7/1/16,"17,924.24","18,002.38","17,916.91","17,949.37",0.90%,0,,
6/1/16,"17,754.55","17,809.18","17,664.79","17,789.67",-0.57%,1,,
5/2/16,"17,783.78","17,912.35","17,773.71","17,891.16",0.55%,0,,
4/1/16,"17,661.74","17,811.48","17,568.02","17,792.75",5.50%,0,,
3/1/16,"16,545.67","16,865.56","16,545.67","16,865.08",2.53%,0,,
2/1/16,"16,453.63","16,510.98","16,299.47","16,449.18",-4.08%,1,,
1/4/16,"17,405.48","17,405.48","16,957.63","17,148.94",-4.13%,1,,
12/1/15,"17,719.72","17,895.50","17,719.72","17,888.35",0.33%,0,,
11/2/15,"17,672.62","17,845.90","17,655.02","17,828.76",9.57%,0,,
10/1/15,"16,278.62","16,348.87","16,073.82","16,272.01",1.33%,0,,
9/1/15,"16,528.03","16,528.03","15,979.95","16,058.35",-8.75%,1,,
8/3/15,"17,696.74","17,704.76","17,496.61","17,598.20",-0.90%,1,,
7/1/15,"17,638.12","17,801.83","17,638.12","17,757.91",-1.57%,1,,
6/1/15,"18,017.82","18,105.83","17,982.06","18,040.37",0.09%,0,,
5/1/15,"17,859.27","18,028.89","17,859.27","18,024.06",1.84%,0,,
4/1/15,"17,778.52","17,778.52","17,585.01","17,698.18",-3.23%,1,,
3/2/15,"18,134.05","18,288.63","18,122.59","18,288.63",5.34%,0,,
2/2/15,"17,169.99","17,367.68","17,037.76","17,361.04",-2.65%,1,,
1/2/15,"17,823.07","17,951.78","17,731.30","17,832.99",0.32%,0,,
12/1/14,"17,827.27","17,827.27","17,726.55","17,776.80",2.36%,0,,
11/3/14,"17,390.90","17,410.65","17,339.85","17,366.24",3.34%,0,,
10/1/14,"17,040.46","17,041.16","16,776.13","16,804.71",-1.54%,1,,
9/2/14,"17,097.42","17,113.51","17,009.07","17,067.56",3.48%,0,,
8/1/14,"16,561.70","16,584.75","16,437.07","16,493.37",-2.73%,1,,
7/1/14,"16,828.53","16,998.70","16,828.53","16,956.07",1.27%,0,,
6/2/14,"16,716.85","16,756.64","16,682.07","16,743.63",1.12%,0,,
5/1/14,"16,580.26","16,604.79","16,525.25","16,558.87",0.16%,0,,
4/1/14,"16,458.05","16,565.73","16,457.60","16,532.61",2.25%,0,,
3/3/14,"16,321.71","16,321.71","16,071.25","16,168.03",5.17%,0,,
2/3/14,"15,697.69","15,708.54","15,356.17","15,372.80",-6.50%,1,,
1/2/14,"16,572.17","16,573.07","16,416.49","16,441.35",2.70%,0,,
12/2/13,"16,087.12","16,098.00","15,986.23","16,008.77",2.52%,0,,
11/1/13,"15,558.01","15,649.40","15,543.25","15,615.55",2.79%,0,,
10/1/13,"15,132.49","15,208.40","15,110.34","15,191.70",2.41%,0,,
9/3/13,"14,801.55","14,933.35","14,777.48","14,833.96",-5.08%,1,,
8/1/13,"15,503.85","15,650.69","15,503.85","15,628.02",4.36%,0,,
7/1/13,"14,911.60","15,083.28","14,911.60","14,974.96",-1.83%,1,,
6/3/13,"15,123.55","15,254.11","15,123.55","15,254.03",3.76%,0,,
5/1/13,"14,839.80","14,839.80","14,687.05","14,700.95",0.88%,0,,
4/1/13,"14,578.54","14,605.72","14,531.48","14,572.85",3.43%,0,,
3/1/13,"14,054.49","14,107.09","13,937.60","14,089.66",0.57%,0,,
2/1/13,"13,860.58","14,019.78","13,860.58","14,009.79",4.45%,0,,
1/2/13,"13,104.30","13,412.71","13,104.30","13,412.55",3.45%,0,,
12/3/12,"13,027.73","13,087.32","12,959.42","12,965.60",-2.02%,1,,
11/1/12,"13,099.19","13,273.71","13,099.11","13,232.62",-2.09%,1,,
10/1/12,"13,437.66","13,598.25","13,437.66","13,515.11",3.68%,0,,
9/4/12,"13,092.15","13,092.39","12,977.09","13,035.94",0.50%,0,,
8/1/12,"13,007.47","13,074.83","12,951.16","12,971.06",0.77%,0,,
7/2/12,"12,879.71","12,902.12","12,795.48","12,871.39",6.21%,0,,
6/1/12,"12,391.56","12,391.63","12,107.48","12,118.57",-8.74%,1,,
5/1/12,"13,214.16","13,338.66","13,174.65","13,279.32",0.11%,0,,
4/2/12,"13,211.36","13,297.11","13,153.69","13,264.49",2.19%,0,,
3/1/12,"12,952.29","13,032.67","12,943.06","12,980.30",2.07%,0,,
2/1/12,"12,632.76","12,784.62","12,632.76","12,716.46",2.57%,0,,
1/3/12,"12,221.19","12,479.65","12,221.19","12,397.38",3.14%,0,,
12/1/11,"12,046.21","12,062.64","11,974.62","12,020.03",3.11%,0,,
