Date,USD (AM)
1/2/80,559
2/1/80,675
3/3/80,637
4/1/80,501.5
5/1/80,507.75
6/2/80,563
7/1/80,656
8/1/80,622
9/1/80,626.25
10/1/80,679.25
11/3/80,634.3
12/1/80,635.5
1/5/81,592
2/2/81,493.25
3/2/81,474.5
4/1/81,516.75
5/1/81,484.75
6/1/81,481.25
7/1/81,421.25
8/3/81,392.5
9/1/81,422.5
10/1/81,435.25
11/2/81,431
12/1/81,405
1/4/82,399
2/1/82,381.25
3/1/82,358.75
4/1/82,325.5
5/4/82,343.5
6/1/82,319
7/1/82,311.75
8/2/82,352.12
9/1/82,404.25
10/1/82,397.75
11/1/82,426.75
12/1/82,440
1/4/83,452.75
2/1/83,508.5
3/1/83,414.5
4/5/83,425.75
5/3/83,431
6/1/83,416.25
7/1/83,416.75
8/1/83,413.25
9/1/83,415.8
10/3/83,393.5
11/1/83,376
12/1/83,398.5
1/3/84,384
2/1/84,377.25
3/1/84,395.25
4/2/84,387.25
5/1/84,376.4
6/1/84,389.4
7/2/84,370.45
8/1/84,337.35
9/3/84,346.2
10/1/84,344.75
11/1/84,333.85
12/3/84,327.7
1/2/85,306.25
2/1/85,304.8
3/1/85,288.1
4/1/85,324.65
5/1/85,315.6
6/3/85,316.85
7/1/85,315.35
8/1/85,326.75
9/2/85,335.45
10/1/85,323.15
11/1/85,324.65
12/2/85,323.95
1/2/86,327.1
2/3/86,347.35
3/3/86,339.45
4/1/86,333.7
5/1/86,345.6
6/2/86,343
7/1/86,345.65
8/1/86,360.5
9/1/86,392
10/1/86,425.5
11/3/86,400.3
12/1/86,399.6
1/2/87,402.4
2/2/87,406.45
3/2/87,404.4
4/1/87,418.5
5/1/87,452.15
6/1/87,443.4
7/1/87,449.5
8/3/87,473.25
9/1/87,453.1
10/1/87,454.1
11/2/87,469.95
12/1/87,486.9
1/4/88,484.1
2/1/88,454.65
3/1/88,429.15
4/5/88,456
5/3/88,444.3
6/1/88,457
7/1/88,436.5
8/1/88,436.4
9/1/88,430.3
10/3/88,394.2
11/1/88,411
12/1/88,425.5
