Date,PCE Value
1/1/59,306.1
2/1/59,309.6
3/1/59,312.7
4/1/59,312.2
5/1/59,316.1
6/1/59,318.2
7/1/59,317.8
8/1/59,320.2
9/1/59,324.2
10/1/59,322.8
11/1/59,322.9
12/1/59,322.9
1/1/60,323.6
2/1/60,325.3
3/1/60,330.2
4/1/60,336.5
5/1/60,330
6/1/60,330.1
7/1/60,331.4
8/1/60,331.6
9/1/60,333.4
10/1/60,335.4
11/1/60,335.4
12/1/60,331.3
1/1/61,332.2
2/1/61,333.7
3/1/61,337.7
4/1/61,337.6
5/1/61,339.9
6/1/61,340.9
7/1/61,340.6
8/1/61,342.1
9/1/61,344.4
10/1/61,346.5
11/1/61,349.9
12/1/61,352.4
1/1/62,353.2
2/1/62,354
3/1/62,357.4
4/1/62,359
5/1/62,362
6/1/62,360.4
7/1/62,361.4
8/1/62,362.9
9/1/62,368.8
10/1/62,366.5
11/1/62,371.7
12/1/62,373.6
1/1/63,374.4
2/1/63,373.4
3/1/63,375
4/1/63,376.4
5/1/63,377.2
6/1/63,381.7
7/1/63,384.4
8/1/63,386.3
9/1/63,385.5
10/1/63,386
11/1/63,389.4
12/1/63,394.7
1/1/64,396.8
2/1/64,400.2
3/1/64,401.8
4/1/64,402.8
5/1/64,408.4
6/1/64,411.4
7/1/64,414.9
8/1/64,417.7
9/1/64,416.6
10/1/64,419.6
11/1/64,416.4
12/1/64,421
1/1/65,424.4
2/1/65,431.4
3/1/65,433.3
4/1/65,437.1
5/1/65,437.6
6/1/65,435.2
7/1/65,441
8/1/65,444.4
9/1/65,452
10/1/65,458.5
11/1/65,459.1
12/1/65,461.7
1/1/66,465.2
2/1/66,470.2
3/1/66,475
4/1/66,476.9
5/1/66,473.1
6/1/66,475.5
7/1/66,480.6
8/1/66,483.2
9/1/66,489.2
10/1/66,488.3
11/1/66,490.1
12/1/66,491.8
1/1/67,494.2
2/1/67,493
3/1/67,495.8
4/1/67,501.3
5/1/67,502.2
