Date,SPY Value
1/1/1900,207.86
2/1/1900,209.22
3/1/1900,210.91
4/1/1900,213.6
5/1/1900,208.45
6/1/1900,204.6
7/1/1900,202.24
8/1/1900,207.4
9/1/1900,200.17
10/1/1900,209.84
11/1/1900,226.25
12/1/1900,243.02
1/1/1901,246.85
2/1/1901,256.46
3/1/1901,265.66
4/1/1901,291.39
5/1/1901,276.71
6/1/1901,304.28
7/1/1901,280.51
8/1/1901,280.72
9/1/1901,276.1
10/1/1901,272.99
11/1/1901,275.33
12/1/1901,267.85
1/1/1902,276.69
2/1/1902,279.08
3/1/1902,279.42
4/1/1902,285.7
5/1/1902,281.51
6/1/1902,276.76
7/1/1902,283.02
8/1/1902,293.82
9/1/1902,291.24
10/1/1902,263.66
11/1/1902,261.89
12/1/1902,253.16
1/1/1903,262.98
2/1/1903,261.42
3/1/1903,259.87
4/1/1903,249.25
5/1/1903,250.11
6/1/1903,236.29
7/1/1903,225.43
8/1/1903,218.19
9/1/1903,210.35
10/1/1903,206.01
11/1/1903,208.97
12/1/1903,218.62
1/1/1904,217.18
2/1/1904,206.58
3/1/1904,208.41
4/1/1904,215.88
5/1/1904,216.29
6/1/1904,216.62
7/1/1904,225.6
8/1/1904,230.69
9/1/1904,237.98
10/1/1904,251.96
11/1/1904,259.66
12/1/1904,262.2
1/1/1905,267.92
2/1/1905,279.68
3/1/1905,291.07
4/1/1905,287.53
5/1/1905,276.35
6/1/1905,279.6
7/1/1905,288.38
8/1/1905,295.89
9/1/1905,300.08
10/1/1905,304.31
11/1/1905,299.43
12/1/1905,303.2
1/1/1906,313.69
2/1/1906,311.47
3/1/1906,303.84
4/1/1906,299.71
5/1/1906,288.69
6/1/1906,292.47
7/1/1906,294.55
8/1/1906,309.24
9/1/1906,315.42
10/1/1906,299.34
11/1/1906,302.05
12/1/1906,296.3
1/1/1907,290.79
2/1/1907,275.75
3/1/1907,251.43
4/1/1907,252.63
5/1/1907,238.83
6/1/1907,228.66
7/1/1907,237.4
8/1/1907,219.61
9/1/1907,217.28
10/1/1907,191.79
11/1/1907,188.2
12/1/1907,202.13
1/1/1908,212.93
2/1/1908,207.56
3/1/1908,216.05
4/1/1908,225.05
5/1/1908,237.18
6/1/1908,237.49
7/1/1908,243.66
8/1/1908,254.12
9/1/1908,251.35
10/1/1908,251.55
11/1/1908,265.88
12/1/1908,268.9
1/1/1909,272.81
2/1/1909,262.05
3/1/1909,265.62
4/1/1909,271.82
5/1/1909,278.15
6/1/1909,280.05
7/1/1909,284.06
8/1/1909,288.16
9/1/1909,285.44
10/1/1909,281.01
11/1/1909,276.81
12/1/1909,277.55
1/1/1910,274.09
2/1/1910,264.3
3/1/1910,265.73
4/1/1910,257.03
5/1/1910,257.61
6/1/1910,247.44
7/1/1910,234.93
8/1/1910,243.1
9/1/1910,247.27
10/1/1910,266.34
11/1/1910,271.53
12/1/1910,263.95
1/1/1911,270.36
2/1/1911,283.95
3/1/1911,277.53
4/1/1911,285.5
5/1/1911,291.65
6/1/1911,297.5
7/1/1911,292.92
8/1/1911,270.37
9/1/1911,252.86
10/1/1911,254.32
11/1/1911,267.43
12/1/1911,271.28
1/1/1912,268.9
2/1/1912,263.65
3/1/1912,265.77
4/1/1912,266.14
5/1/1912,265.86
6/1/1912,268.35
7/1/1912,268.63
8/1/1912,272.25
9/1/1912,270.84
10/1/1912,270.29
11/1/1912,267.27
12/1/1912,260.31
1/1/1913,255.46
2/1/1913,246.4
3/1/1913,241.73
4/1/1913,241.45
5/1/1913,237.28
6/1/1913,223.05
7/1/1913,223.79
8/1/1913,229.77
9/1/1913,229.62
10/1/1913,222.36
11/1/1913,214.56
12/1/1913,216.43
1/1/1914,225.32
2/1/1914,230.58
3/1/1914,226.23
4/1/1914,223.05
5/1/1914,222.15
6/1/1914,221.07
7/1/1914,206.74
8/1/1914,202.69
9/1/1914,202.69
10/1/1914,204.69
11/1/1914,202.69
12/1/1914,195.9
1/1/1915,199.36
2/1/1915,198.67
3/1/1915,205.84
4/1/1915,219.12
5/1/1915,211.89
6/1/1915,214.29
7/1/1915,213.49
8/1/1915,222.55
9/1/1915,230.81
10/1/1915,241.22
11/1/1915,247.24
12/1/1915,247.76
1/1/1916,241.5
2/1/1916,238.13
3/1/1916,235.1
4/1/1916,230.34
5/1/1916,233.22
6/1/1916,233.3
7/1/1916,230.06
8/1/1916,229.68
9/1/1916,234.76
10/1/1916,237.75
11/1/1916,239
12/1/1916,227.42
1/1/1917,220.19
2/1/1917,202.57
3/1/1917,208.85
4/1/1917,195.91
5/1/1917,186.33
6/1/1917,187.19
7/1/1917,184.86
8/1/1917,176.63
9/1/1917,164.35
10/1/1917,153.14
11/1/1917,140.38
12/1/1917,133.62
1/1/1918,138.64
2/1/1918,141.85
3/1/1918,139.98
4/1/1918,136.68
5/1/1918,138.12
6/1/1918,136.43
7/1/1918,133.88
8/1/1918,132.5
9/1/1918,129.28
10/1/1918,132.24
11/1/1918,133.11
12/1/1918,128.89
1/1/1919,128.07
2/1/1919,130.94
3/1/1919,133.28
4/1/1919,135.24
5/1/1919,142.88
6/1/1919,146.7
7/1/1919,147.13
8/1/1919,134.9
9/1/1919,136.26
10/1/1919,140.84
11/1/1919,133.72
12/1/1919,127.05
1/1/1920,123.16
2/1/1920,111.82
3/1/1920,118.47
4/1/1920,114.04
5/1/1920,105.33
6/1/1920,102.01
7/1/1920,102.37
8/1/1920,100.78
9/1/1920,105.93
10/1/1920,106.6
11/1/1920,101.7
12/1/1920,94.5
1/1/1921,100.74
2/1/1921,103.29
3/1/1921,101.21
4/1/1921,102.77
5/1/1921,108.29
6/1/1921,100.18
7/1/1921,99.31
8/1/1921,98.1
9/1/1921,101.68
10/1/1921,103.06
11/1/1921,109.23
12/1/1921,113.75
1/1/1922,116.28
2/1/1922,118.83
3/1/1922,124.76
4/1/1922,132.34
5/1/1922,137.5
6/1/1922,136.21
7/1/1922,136.36
8/1/1922,143.19
9/1/1922,146.92
10/1/1922,149.27
11/1/1922,141.01
12/1/1922,139.85
1/1/1923,142.61
2/1/1923,148.7
3/1/1923,151.1
4/1/1923,144.95
5/1/1923,138.1
6/1/1923,132.06
7/1/1923,126.15
8/1/1923,127.51
9/1/1923,127.55
10/1/1923,124.95
11/1/1923,128.68
12/1/1923,133.04
1/1/1924,137.4
2/1/1924,138.82
3/1/1924,136.96
4/1/1924,134.6
5/1/1924,134.12
6/1/1924,136.66
7/1/1924,142.15
8/1/1924,147.9
9/1/1924,145.62
10/1/1924,142.89
11/1/1924,150.87
12/1/1924,158.09
1/1/1925,164.63
2/1/1925,166.99
3/1/1925,161.67
4/1/1925,160.89
5/1/1925,165.1
